id,title,description,category,subcategory,subsubcategory
711,Number of Distinct Islands II,,Graphs,Basic Graph Traversal,Depth-First Search (DFS)
712,Minimum ASCII Delete Sum for Two Strings,"Given two strings s1 and s2, return the lowest ASCII sum of deleted characters to make two strings equal. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
713,Subarray Product Less Than K,"Given an array of integers nums and an integer k, return the number of contiguous subarrays where the product of all the elements in the subarray is strictly less than k. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
714,Best Time to Buy and Sell Stock with Transaction Fee,"You are given an array prices where prices[i] is the price of a given stock on the ith day, and an integer fee representing a transaction fee.Find the maximum profit you can achieve. You may complete as many transactions as you like, but you need to pay the transaction fee for each transaction.Note:	You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again).	The transaction fee is only charged once for each stock purchase and sale. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
715,Range Module,"A Range Module is a module that tracks ranges of numbers. Design a data structure to track the ranges represented as half-open intervals and query about them.A half-open interval [left, right) denotes all the real numbers x where left <= x < right.Implement the RangeModule class:	RangeModule() Initializes the object of the data structure.	void addRange(int left, int right) Adds the half-open interval [left, right), tracking every real number in that interval. Adding an interval that partially overlaps with currently tracked numbers should add any numbers in the interval [left, right) that are not already tracked.	boolean queryRange(int left, int right) Returns true if every real number in the interval [left, right) is currently being tracked, and false otherwise.	void removeRange(int left, int right) Stops tracking every real number currently being tracked in the half-open interval [left, right). ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
716,Max Stack,,Stacks & Queues,Advanced Stack/Queue usage,Monotonic Stack
718,Maximum Length of Repeated Subarray,"Given two integer arrays nums1 and nums2, return the maximum length of a subarray that appears in both arrays. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
721,Accounts Merge,"Given a list of accounts where each element accounts[i] is a list of strings, where the first element accounts[i][0] is a name, and the rest of the elements are emails representing emails of the account.Now, we would like to merge these accounts. Two accounts definitely belong to the same person if there is some common email to both accounts. Note that even if two accounts have the same name, they may belong to different people as people could have the same name. A person can have any number of accounts initially, but all of their accounts definitely have the same name.After merging the accounts, return the accounts in the following format: the first element of each account is the name, and the rest of the elements are emails in sorted order. The accounts themselves can be returned in any order. ",Graphs,Basic Graph Traversal,Connected Components
723,Candy Crush,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
724,Find Pivot Index,"Given an array of integers nums, calculate the pivot index of this array.The pivot index is the index where the sum of all the numbers strictly to the left of the index is equal to the sum of all the numbers strictly to the index&#39;s right.If the index is on the left edge of the array, then the left sum is 0 because there are no elements to the left. This also applies to the right edge of the array.Return the leftmost pivot index. If no such index exists, return -1. ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
725,Split Linked List in Parts,"Given the head of a singly linked list and an integer k, split the linked list into k consecutive linked list parts.The length of each part should be as equal as possible: no two parts should have a size differing by more than one. This may lead to some parts being null.The parts should be in the order of occurrence in the input list, and parts occurring earlier should always have a size greater than or equal to parts occurring later.Return an array of the k parts. ",Linked Lists,Basic Operations,Traversal & Searching
726,Number of Atoms,"Given a string formula representing a chemical formula, return the count of each atom.The atomic element always starts with an uppercase character, then zero or more lowercase letters, representing the name.One or more digits representing that element&#39;s count may follow if the count is greater than 1. If the count is 1, no digits will follow.	For example, &quot;H2O&quot; and &quot;H2O2&quot; are possible, but &quot;H1O2&quot; is impossible.Two formulas are concatenated together to produce another formula.	For example, &quot;H2O2He3Mg4&quot; is also a formula.A formula placed in parentheses, and a count (optionally added) is also a formula.	For example, &quot;(H2O2)&quot; and &quot;(H2O2)3&quot; are formulas.Return the count of all elements as a string in the following form: the first name (in sorted order), followed by its count (if that count is more than 1), followed by the second name (in sorted order), followed by its count (if that count is more than 1), and so on.The test cases are generated so that all the values in the output fit in a 32-bit integer. ",Arrays & Strings,Advanced Array/String Techniques,Element Counting & Frequency
727,Minimum Window Subsequence,,Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
728,Self Dividing Numbers,"A self-dividing number is a number that is divisible by every digit it contains.	For example, 128 is a self-dividing number because 128 % 1 == 0, 128 % 2 == 0, and 128 % 8 == 0.A self-dividing number is not allowed to contain the digit zero.Given two integers left and right, return a list of all the self-dividing numbers in the range [left, right] (both inclusive). ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
729,My Calendar I,"You are implementing a program to use as your calendar. We can add a new event if adding the event will not cause a double booking.A double booking happens when two events have some non-empty intersection (i.e., some moment is common to both events.).The event can be represented as a pair of integers startTime and endTime that represents a booking on the half-open interval [startTime, endTime), the range of real numbers x such that startTime <= x < endTime.Implement the MyCalendar class:	MyCalendar() Initializes the calendar object.	boolean book(int startTime, int endTime) Returns true if the event can be added to the calendar successfully without causing a double booking. Otherwise, return false and do not add the event to the calendar. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
730,Count Different Palindromic Subsequences,"Given a string s, return the number of different non-empty palindromic subsequences in s. Since the answer may be very large, return it modulo 109 + 7.A subsequence of a string is obtained by deleting zero or more characters from the string.A sequence is palindromic if it is equal to the sequence reversed.Two sequences a1, a2, ... and b1, b2, ... are different if there is some i for which ai != bi. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
731,My Calendar II,"You are implementing a program to use as your calendar. We can add a new event if adding the event will not cause a triple booking.A triple booking happens when three events have some non-empty intersection (i.e., some moment is common to all the three events.).The event can be represented as a pair of integers startTime and endTime that represents a booking on the half-open interval [startTime, endTime), the range of real numbers x such that startTime <= x < endTime.Implement the MyCalendarTwo class:	MyCalendarTwo() Initializes the calendar object.	boolean book(int startTime, int endTime) Returns true if the event can be added to the calendar successfully without causing a triple booking. Otherwise, return false and do not add the event to the calendar. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
732,My Calendar III,"A k-booking happens when k events have some non-empty intersection (i.e., there is some time that is common to all k events.)You are given some events [startTime, endTime), after each given event, return an integer k representing the maximum k-booking between all the previous events.Implement the MyCalendarThree class:	MyCalendarThree() Initializes the object.	int book(int startTime, int endTime) Returns an integer k representing the largest integer such that there exists a k-booking in the calendar. ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
733,Flood Fill,"You are given an image represented by an m x n grid of integers image, where image[i][j] represents the pixel value of the image. You are also given three integers sr, sc, and color. Your task is to perform a flood fill on the image starting from the pixel image[sr][sc].To perform a flood fill:	Begin with the starting pixel and change its color to color.	Perform the same process for each pixel that is directly adjacent (pixels that share a side with the original pixel, either horizontally or vertically) and shares the same color as the starting pixel.	Keep repeating this process by checking neighboring pixels of the updated pixels and modifying their color if it matches the original color of the starting pixel.	The process stops when there are no more adjacent pixels of the original color to update.Return the modified image after performing the flood fill. ",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
734,Sentence Similarity,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
735,Asteroid Collision,"We are given an array asteroids of integers representing asteroids in a row. The indices of the asteriod in the array represent their relative position in space.For each asteroid, the absolute value represents its size, and the sign represents its direction (positive meaning right, negative meaning left). Each asteroid moves at the same speed.Find out the state of the asteroids after all collisions. If two asteroids meet, the smaller one will explode. If both are the same size, both will explode. Two asteroids moving in the same direction will never meet. ",Stacks & Queues,Advanced Stack/Queue usage,Monotonic Stack
736,Parse Lisp Expression,"You are given a string expression representing a Lisp-like expression to return the integer value of.The syntax for these expressions is given as follows.	An expression is either an integer, let expression, add expression, mult expression, or an assigned variable. Expressions always evaluate to a single integer.	(An integer could be positive or negative.)	A let expression takes the form &quot;(let v1 e1 v2 e2 ... vn en expr)&quot;, where let is always the string &quot;let&quot;, then there are one or more pairs of alternating variables and expressions, meaning that the first variable v1 is assigned the value of the expression e1, the second variable v2 is assigned the value of the expression e2, and so on sequentially; and then the value of this let expression is the value of the expression expr.	An add expression takes the form &quot;(add e1 e2)&quot; where add is always the string &quot;add&quot;, there are always two expressions e1, e2 and the result is the addition of the evaluation of e1 and the evaluation of e2.	A mult expression takes the form &quot;(mult e1 e2)&quot; where mult is always the string &quot;mult&quot;, there are always two expressions e1, e2 and the result is the multiplication of the evaluation of e1 and the evaluation of e2.	For this question, we will use a smaller subset of variable names. A variable starts with a lowercase letter, then zero or more lowercase letters or digits. Additionally, for your convenience, the names &quot;add&quot;, &quot;let&quot;, and &quot;mult&quot; are protected and will never be used as variable names.	Finally, there is the concept of scope. When an expression of a variable name is evaluated, within the context of that evaluation, the innermost scope (in terms of parentheses) is checked first for the value of that variable, and then outer scopes are checked sequentially. It is guaranteed that every expression is legal. Please see the examples for more details on the scope. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
737,Sentence Similarity II,,Graphs,Basic Graph Traversal,Connected Components
738,Monotone Increasing Digits,"An integer has monotone increasing digits if and only if each pair of adjacent digits x and y satisfy x <= y.Given an integer n, return the largest number that is less than or equal to n with monotone increasing digits. ",Greedy Algorithms,Optimization Problems,Minimum coins
739,Daily Temperatures,"Given an array of integers temperatures represents the daily temperatures, return an array answer such that answer[i] is the number of days you have to wait after the ith day to get a warmer temperature. If there is no future day for which this is possible, keep answer[i] == 0 instead. ",Stacks & Queues,Advanced Stack/Queue usage,Monotonic Stack
740,Delete and Earn,"You are given an integer array nums. You want to maximize the number of points you get by performing the following operation any number of times:	Pick any nums[i] and delete it to earn nums[i] points. Afterwards, you must delete every element equal to nums[i] - 1 and every element equal to nums[i] + 1.Return the maximum number of points you can earn by applying the above operation some number of times. ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
741,Cherry Pickup,"You are given an n x n grid representing a field of cherries, each cell is one of three possible integers.	0 means the cell is empty, so you can pass through,	1 means the cell contains a cherry that you can pick up and pass through, or	-1 means the cell contains a thorn that blocks your way.Return the maximum number of cherries you can collect by following the rules below:	Starting at the position (0, 0) and reaching (n - 1, n - 1) by moving right or down through valid path cells (cells with value 0 or 1).	After reaching (n - 1, n - 1), returning to (0, 0) by moving left or up through valid path cells.	When passing through a path cell containing a cherry, you pick it up, and the cell becomes an empty cell 0.	If there is no valid path between (0, 0) and (n - 1, n - 1), then no cherries can be collected. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
742,Closest Leaf in a Binary Tree,,Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
743,Network Delay Time,"You are given a network of n nodes, labeled from 1 to n. You are also given times, a list of travel times as directed edges times[i] = (ui, vi, wi), where ui is the source node, vi is the target node, and wi is the time it takes for a signal to travel from source to target.We will send a signal from a given node k. Return the minimum time it takes for all the n nodes to receive the signal. If it is impossible for all the n nodes to receive the signal, return -1. ",Graphs,Shortest Paths,Dijkstra's Algorithm
744,Find Smallest Letter Greater Than Target,"You are given an array of characters letters that is sorted in non-decreasing order, and a character target. There are at least two different characters in letters.Return the smallest character in letters that is lexicographically greater than target. If such a character does not exist, return the first character in letters. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
745,Prefix and Suffix Search,"Design a special dictionary that searches the words in it by a prefix and a suffix.Implement the WordFilter class:	WordFilter(string[] words) Initializes the object with the words in the dictionary.	f(string pref, string suff) Returns the index of the word in the dictionary, which has the prefix pref and the suffix suff. If there is more than one valid index, return the largest of them. If there is no such word in the dictionary, return -1. ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
746,Min Cost Climbing Stairs,"You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps.You can either start from the step with index 0, or the step with index 1.Return the minimum cost to reach the top of the floor. ",Dynamic Programming (DP),1D DP,Climbing Stairs variants
747,Largest Number At Least Twice of Others,"You are given an integer array nums where the largest integer is unique.Determine whether the largest element in the array is at least twice as much as every other number in the array. If it is, return the index of the largest element, or return -1 otherwise. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
748,Shortest Completing Word,"Given a string licensePlate and an array of strings words, find the shortest completing word in words.A completing word is a word that contains all the letters in licensePlate. Ignore numbers and spaces in licensePlate, and treat letters as case insensitive. If a letter appears more than once in licensePlate, then it must appear in the word the same number of times or more.For example, if licensePlate = &quot;aBc 12c&quot;, then it contains letters &#39;a&#39;, &#39;b&#39; (ignoring case), and &#39;c&#39; twice. Possible completing words are &quot;abccdef&quot;, &quot;caaacab&quot;, and &quot;cbca&quot;.Return the shortest completing word in words. It is guaranteed an answer exists. If there are multiple shortest completing words, return the first one that occurs in words. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
749,Contain Virus,"A virus is spreading rapidly, and your task is to quarantine the infected area by installing walls.The world is modeled as an m x n binary grid isInfected, where isInfected[i][j] == 0 represents uninfected cells, and isInfected[i][j] == 1 represents cells contaminated with the virus. A wall (and only one wall) can be installed between any two 4-directionally adjacent cells, on the shared boundary.Every night, the virus spreads to all neighboring cells in all four directions unless blocked by a wall. Resources are limited. Each day, you can install walls around only one region (i.e., the affected area (continuous block of infected cells) that threatens the most uninfected cells the following night). There will never be a tie.Return the number of walls used to quarantine all the infected regions. If the world will become fully infected, return the number of walls used. ",Graphs,Basic Graph Traversal,Connected Components
750,Number Of Corner Rectangles,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
751,IP to CIDR,,Bit Manipulation,Basic Bit Operations,"Bitwise AND, OR, XOR"
752,Open the Lock,"You have a lock in front of you with 4 circular wheels. Each wheel has 10 slots: &#39;0&#39;, &#39;1&#39;, &#39;2&#39;, &#39;3&#39;, &#39;4&#39;, &#39;5&#39;, &#39;6&#39;, &#39;7&#39;, &#39;8&#39;, &#39;9&#39;. The wheels can rotate freely and wrap around: for example we can turn &#39;9&#39; to be &#39;0&#39;, or &#39;0&#39; to be &#39;9&#39;. Each move consists of turning one wheel one slot.The lock initially starts at &#39;0000&#39;, a string representing the state of the 4 wheels.You are given a list of deadends dead ends, meaning if the lock displays any of these codes, the wheels of the lock will stop turning and you will be unable to open it.Given a target representing the value of the wheels that will unlock the lock, return the minimum total number of turns required to open the lock, or -1 if it is impossible. ",Graphs,Basic Graph Traversal,Breadth-First Search (BFS)
753,Cracking the Safe,"There is a safe protected by a password. The password is a sequence of n digits where each digit can be in the range [0, k - 1].The safe has a peculiar way of checking the password. When you enter in a sequence, it checks the most recent n digits that were entered each time you type a digit.	For example, the correct password is &quot;345&quot; and you enter in &quot;012345&quot;:			After typing 0, the most recent 3 digits is &quot;0&quot;, which is incorrect.		After typing 1, the most recent 3 digits is &quot;01&quot;, which is incorrect.		After typing 2, the most recent 3 digits is &quot;012&quot;, which is incorrect.		After typing 3, the most recent 3 digits is &quot;123&quot;, which is incorrect.		After typing 4, the most recent 3 digits is &quot;234&quot;, which is incorrect.		After typing 5, the most recent 3 digits is &quot;345&quot;, which is correct and the safe unlocks.		Return any string of minimum length that will unlock the safe at some point of entering it. ",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
754,Reach a Number,"You are standing at position 0 on an infinite number line. There is a destination at position target.You can make some number of moves numMoves so that:	On each move, you can either go left or right.	During the ith move (starting from i == 1 to i == numMoves), you take i steps in the chosen direction.Given the integer target, return the minimum number of moves required (i.e., the minimum numMoves) to reach the destination. ",Dynamic Programming (DP),1D DP,Climbing Stairs variants
755,Pour Water,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
756,Pyramid Transition Matrix,"You are stacking blocks to form a pyramid. Each block has a color, which is represented by a single letter. Each row of blocks contains one less block than the row beneath it and is centered on top.To make the pyramid aesthetically pleasing, there are only specific triangular patterns that are allowed. A triangular pattern consists of a single block stacked on top of two blocks. The patterns are given as a list of three-letter strings allowed, where the first two characters of a pattern represent the left and right bottom blocks respectively, and the third character is the top block.	For example, &quot;ABC&quot; represents a triangular pattern with a &#39;C&#39; block stacked on top of an &#39;A&#39; (left) and &#39;B&#39; (right) block. Note that this is different from &quot;BAC&quot; where &#39;B&#39; is on the left bottom and &#39;A&#39; is on the right bottom.You start with a bottom row of blocks bottom, given as a single string, that you must use as the base of the pyramid.Given bottom and allowed, return true if you can build the pyramid all the way to the top such that every triangular pattern in the pyramid is in allowed, or false otherwise. ",Backtracking,Constraint Satisfaction,Word Search
757,Set Intersection Size At Least Two,"You are given a 2D integer array intervals where intervals[i] = [starti, endi] represents all the integers from starti to endi inclusively.A containing set is an array nums where each interval from intervals has at least two integers in nums.	For example, if intervals = [[1,3], [3,7], [8,9]], then [1,2,4,7,8,9] and [2,3,4,8,9] are containing sets.Return the minimum possible size of a containing set. ",Greedy Algorithms,Interval Problems,Activity Selection
758,Bold Words in String,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
759,Employee Free Time,,Greedy Algorithms,Interval Problems,Meeting Rooms
760,Find Anagram Mappings,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
762,Prime Number of Set Bits in Binary Representation,"Given two integers left and right, return the count of numbers in the inclusive range [left, right] having a prime number of set bits in their binary representation.Recall that the number of set bits an integer has is the number of 1&#39;s present when written in binary.	For example, 21 written in binary is 10101, which has 3 set bits. ",Bit Manipulation,Basic Bit Operations,Counting Set Bits
763,Partition Labels,"You are given a string s. We want to partition the string into as many parts as possible so that each letter appears in at most one part. For example, the string &quot;ababcc&quot; can be partitioned into [&quot;abab&quot;, &quot;cc&quot;], but partitions such as [&quot;aba&quot;, &quot;bcc&quot;] or [&quot;ab&quot;, &quot;ab&quot;, &quot;cc&quot;] are invalid.Note that the partition is done so that after concatenating all the parts in order, the resultant string should be s.Return a list of integers representing the size of these parts. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
764,Largest Plus Sign,"You are given an integer n. You have an n x n binary grid grid with all values initially 1&#39;s except for some indices given in the array mines. The ith element of the array mines is defined as mines[i] = [xi, yi] where grid[xi][yi] == 0.Return the order of the largest axis-aligned plus sign of 1&#39;s contained in grid. If there is none, return 0.An axis-aligned plus sign of 1&#39;s of order k has some center grid[r][c] == 1 along with four arms of length k - 1 going up, down, left, and right, and made of 1&#39;s. Note that there could be 0&#39;s or 1&#39;s beyond the arms of the plus sign, only the relevant area of the plus sign is checked for 1&#39;s. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
765,Couples Holding Hands,"There are n couples sitting in 2n seats arranged in a row and want to hold hands.The people and seats are represented by an integer array row where row[i] is the ID of the person sitting in the ith seat. The couples are numbered in order, the first couple being (0, 1), the second couple being (2, 3), and so on with the last couple being (2n - 2, 2n - 1).Return the minimum number of swaps so that every couple is sitting side by side. A swap consists of choosing any two people, then they stand up and switch seats. ",Graphs,Basic Graph Traversal,Connected Components
766,Toeplitz Matrix,"Given an m x n matrix, return true if the matrix is Toeplitz. Otherwise, return false.A matrix is Toeplitz if every diagonal from top-left to bottom-right has the same elements. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
768,Max Chunks To Make Sorted II,"You are given an integer array arr.We split arr into some number of chunks (i.e., partitions), and individually sort each chunk. After concatenating them, the result should equal the sorted array.Return the largest number of chunks we can make to sort the array. ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
770,Basic Calculator IV,"Given an expression such as expression = &quot;e + 8 - a + 5&quot; and an evaluation map such as {&quot;e&quot;: 1} (given in terms of evalvars = [&quot;e&quot;] and evalints = [1]), return a list of tokens representing the simplified expression, such as [&quot;-1*a&quot;,&quot;14&quot;]	An expression alternates chunks and symbols, with a space separating each chunk and symbol.	A chunk is either an expression in parentheses, a variable, or a non-negative integer.	A variable is a string of lowercase letters (not including digits.) Note that variables can be multiple letters, and note that variables never have a leading coefficient or unary operator like &quot;2x&quot; or &quot;-x&quot;.Expressions are evaluated in the usual order: brackets first, then multiplication, then addition and subtraction.	For example, expression = &quot;1 + 2 * 3&quot; has an answer of [&quot;7&quot;].The format of the output is as follows:	For each term of free variables with a non-zero coefficient, we write the free variables within a term in sorted order lexicographically.			For example, we would never write a term like &quot;b*a*c&quot;, only &quot;a*b*c&quot;.			Terms have degrees equal to the number of free variables being multiplied, counting multiplicity. We write the largest degree terms of our answer first, breaking ties by lexicographic order ignoring the leading coefficient of the term.			For example, &quot;a*a*b*c&quot; has degree 4.			The leading coefficient of the term is placed directly to the left with an asterisk separating it from the variables (if they exist.) A leading coefficient of 1 is still printed.	An example of a well-formatted answer is [&quot;-2*a*a*a&quot;, &quot;3*a*a*b&quot;, &quot;3*b*b&quot;, &quot;4*a&quot;, &quot;5*c&quot;, &quot;-6&quot;].	Terms (including constant terms) with coefficient 0 are not included.			For example, an expression of &quot;0&quot; has an output of [].		Note: You may assume that the given expression is always valid. All intermediate results will be in the range of [-231, 231 - 1]. ",Stacks & Queues,Basic Stack Operations,Expression evaluation
771,Jewels and Stones,"You&#39;re given strings jewels representing the types of stones that are jewels, and stones representing the stones you have. Each character in stones is a type of stone you have. You want to know how many of the stones you have are also jewels.Letters are case sensitive, so &quot;a&quot; is considered a different type of stone from &quot;A&quot;. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
772,Basic Calculator III,,Stacks & Queues,Basic Stack Operations,Expression evaluation
773,Sliding Puzzle,"On an 2 x 3 board, there are five tiles labeled from 1 to 5, and an empty square represented by 0. A move consists of choosing 0 and a 4-directionally adjacent number and swapping it.The state of the board is solved if and only if the board is [[1,2,3],[4,5,0]].Given the puzzle board board, return the least number of moves required so that the state of the board is solved. If it is impossible for the state of the board to be solved, return -1. ",Graphs,Basic Graph Traversal,Breadth-First Search (BFS)
774,Minimize Max Distance to Gas Station,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
775,Global and Local Inversions,"You are given an integer array nums of length n which represents a permutation of all the integers in the range [0, n - 1].The number of global inversions is the number of the different pairs (i, j) where:	0 	nums[i] > nums[j]The number of local inversions is the number of indices i where:	0 	nums[i] > nums[i + 1]Return true if the number of global inversions is equal to the number of local inversions. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
776,Split BST,,Trees,Binary Trees,Binary Search Tree operations
777,Swap Adjacent in LR String,"In a string composed of &#39;L&#39;, &#39;R&#39;, and &#39;X&#39; characters, like &quot;RXXLRXRXL&quot;, a move consists of either replacing one occurrence of &quot;XL&quot; with &quot;LX&quot;, or replacing one occurrence of &quot;RX&quot; with &quot;XR&quot;. Given the starting string start and the ending string result, return True if and only if there exists a sequence of moves to transform start to result. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
778,Swim in Rising Water,"You are given an n x n integer matrix grid where each value grid[i][j] represents the elevation at that point (i, j).The rain starts to fall. At time t, the depth of the water everywhere is t. You can swim from a square to another 4-directionally adjacent square if and only if the elevation of both squares individually are at most t. You can swim infinite distances in zero time. Of course, you must stay within the boundaries of the grid during your swim.Return the least time until you can reach the bottom right square (n - 1, n - 1) if you start at the top left square (0, 0). ",Graphs,Shortest Paths,Dijkstra's Algorithm
779,K-th Symbol in Grammar,"We build a table of n rows (1-indexed). We start by writing 0 in the 1st row. Now in every subsequent row, we look at the previous row and replace each occurrence of 0 with 01, and each occurrence of 1 with 10.	For example, for n = 3, the 1st row is 0, the 2nd row is 01, and the 3rd row is 0110.Given two integer n and k, return the kth (1-indexed) symbol in the nth row of a table of n rows. ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
780,Reaching Points,"Given four integers sx, sy, tx, and ty, return true if it is possible to convert the point (sx, sy) to the point (tx, ty) through some operations, or false otherwise.The allowed operation on some point (x, y) is to convert it to either (x, x + y) or (x + y, y). ",Dynamic Programming (DP),2D DP,Matrix Path Problems
781,Rabbits in Forest,"There is a forest with an unknown number of rabbits. We asked n rabbits &quot;How many rabbits have the same color as you?&quot; and collected the answers in an integer array answers where answers[i] is the answer of the ith rabbit.Given the array answers, return the minimum number of rabbits that could be in the forest. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
782,Transform to Chessboard,"You are given an n x n binary grid board. In each move, you can swap any two rows with each other, or any two columns with each other.Return the minimum number of moves to transform the board into a chessboard board. If the task is impossible, return -1.A chessboard board is a board where no 0&#39;s and no 1&#39;s are 4-directionally adjacent. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
783,Minimum Distance Between BST Nodes,"Given the root of a Binary Search Tree (BST), return the minimum difference between the values of any two different nodes in the tree. ",Trees,Binary Trees,Binary Search Tree operations
784,Letter Case Permutation,"Given a string s, you can transform every letter individually to be lowercase or uppercase to create another string.Return a list of all possible strings we could create. Return the output in any order. ",Backtracking,Permutations & Combinations,Subsets
785,Is Graph Bipartite?,"There is an undirected graph with n nodes, where each node is numbered between 0 and n - 1. You are given a 2D array graph, where graph[u] is an array of nodes that node u is adjacent to. More formally, for each v in graph[u], there is an undirected edge between node u and node v. The graph has the following properties:	There are no self-edges (graph[u] does not contain u).	There are no parallel edges (graph[u] does not contain duplicate values).	If v is in graph[u], then u is in graph[v] (the graph is undirected).	The graph may not be connected, meaning there may be two nodes u and v such that there is no path between them.A graph is bipartite if the nodes can be partitioned into two independent sets A and B such that every edge in the graph connects a node in set A and a node in set B.Return true if and only if it is bipartite. ",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
786,K-th Smallest Prime Fraction,"You are given a sorted integer array arr containing 1 and prime numbers, where all the integers of arr are unique. You are also given an integer k.For every i and j where 0 <= i < j < arr.length, we consider the fraction arr[i] / arr[j].Return the kth smallest fraction considered. Return your answer as an array of integers of size 2, where answer[0] == arr[i] and answer[1] == arr[j]. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
787,Cheapest Flights Within K Stops,"There are n cities connected by some number of flights. You are given an array flights where flights[i] = [fromi, toi, pricei] indicates that there is a flight from city fromi to city toi with cost pricei.You are also given three integers src, dst, and k, return the cheapest price from src to dst with at most k stops. If there is no such route, return -1. ",Graphs,Shortest Paths,Bellman-Ford Algorithm
788,Rotated Digits,"An integer x is a good if after rotating each digit individually by 180 degrees, we get a valid number that is different from x. Each digit must be rotated - we cannot choose to leave it alone.A number is valid if each digit remains a digit after rotation. For example:	0, 1, and 8 rotate to themselves,	2 and 5 rotate to each other (in this case they are rotated in a different direction, in other words, 2 or 5 gets mirrored),	6 and 9 rotate to each other, and	the rest of the numbers do not rotate to any other number and become invalid.Given an integer n, return the number of good integers in the range [1, n]. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
789,Escape The Ghosts,"You are playing a simplified PAC-MAN game on an infinite 2-D grid. You start at the point [0, 0], and you are given a destination point target = [xtarget, ytarget] that you are trying to get to. There are several ghosts on the map with their starting positions given as a 2D array ghosts, where ghosts[i] = [xi, yi] represents the starting position of the ith ghost. All inputs are integral coordinates.Each turn, you and all the ghosts may independently choose to either move 1 unit in any of the four cardinal directions: north, east, south, or west, or stay still. All actions happen simultaneously.You escape if and only if you can reach the target before any ghost reaches you. If you reach any square (including the target) at the same time as a ghost, it does not count as an escape.Return true if it is possible to escape regardless of how the ghosts move, otherwise return false. ",Greedy Algorithms,Optimization Problems,Minimum coins
790,Domino and Tromino Tiling,"You have two types of tiles: a 2 x 1 domino shape and a tromino shape. You may rotate these shapes.Given an integer n, return the number of ways to tile an 2 x n board. Since the answer may be very large, return it modulo 109 + 7.In a tiling, every square must be covered by a tile. Two tilings are different if and only if there are two 4-directionally adjacent cells on the board such that exactly one of the tilings has both squares occupied by a tile. ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
792,Number of Matching Subsequences,"Given a string s and an array of strings words, return the number of words[i] that is a subsequence of s.A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.	For example, &quot;ace&quot; is a subsequence of &quot;abcde&quot;. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
